,age,let-introduced,lettice,church-introduced,spelling-relief,friends-introduced,perry,parents,status,month,jerome,spelling,english,barrons,world,latin-study,hairdresser,barron-crisis,housework,poverty,child-led,projects,assessments,motivation,william,tyler,highest-win,previous-missed,dinner,newslettering,pedagogue,gerbil-studied,doll,visiting,sara,lessons,birthdaying,lettice-monster,bookstore,topeng-defined,barrons-card,greekletters,threats-useless,epilogued,minestrone,photosynthesis,william-intervention,warned,cyan,hyalithe,psitta,not-talking,materials-studied,copy-error,cosmetics-studied,wednesday-done,lectern,art-words,isgreek,isindonesian,isspanish,ishungarian,genius,jerome-texted,hawaiian,format-change,collage-ready,coupons-offered
032_data.txt,9.0,1.0,14.0,1.0,7.0,1.0,2.0,5.0,2.0,26.0,3.0,23.0,3.0,,4.0,1.0,,,,2.0,2.0,,,2.0,,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
047_data.txt,9.0,1.0,13.0,1.0,7.0,1.0,1.0,-1.0,3.0,26.0,2.0,11.0,3.0,,2.0,,,,,1.0,2.0,1.0,,2.0,,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,
020_data.txt,10.0,1.0,-1.0,1.0,9.0,1.0,4.0,4.0,1.0,29.0,1.0,35.0,3.0,6.0,4.0,1.0,45.0,3.0,1.0,13.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,
081_data.txt,10.0,1.0,-3.0,1.0,8.0,1.0,1.0,1.0,6.0,27.0,4.0,36.0,4.0,3.0,3.0,1.0,,,1.0,3.0,2.0,,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,
002_data.txt,11.0,1.0,-4.0,1.0,13.0,1.0,3.0,0.0,7.0,27.0,2.0,39.0,4.0,4.0,4.0,2.0,,3.0,1.0,3.0,2.0,,,1.0,1.0,,4.0,2.0,1.0,2.0,,,1.0,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,2.0,,2.0,,,1.0,,,,,,,
010_data.txt,12.0,1.0,-1.0,1.0,15.0,1.0,1.0,4.0,5.0,27.0,4.0,77.0,4.0,6.0,4.0,2.0,30.0,3.0,1.0,7.0,2.0,,,0.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,8.0,,,,,,
057_data.txt,10.0,1.0,3.0,1.0,14.0,1.0,1.0,5.0,2.0,29.0,5.0,40.0,,5.0,3.0,2.0,30.0,1.0,1.0,14.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,0.0,0.0,0.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,2.0
048_data.txt,10.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,5.0,29.0,,23.0,4.0,4.0,3.0,2.0,50.0,3.0,1.0,15.0,,,,1.0,1.0,,2.0,1.0,1.0,-1.0,1.0,,1.0,,2.0,,,1.0,,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,
088_data.txt,11.0,1.0,0.0,1.0,11.0,1.0,1.0,-7.0,6.0,27.0,5.0,61.0,4.0,2.0,3.0,2.0,,1.0,1.0,13.0,2.0,,1.0,0.0,,,4.0,2.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,1.0,3.0,,,1.0,,1.0,,,
069_data.txt,11.0,1.0,0.0,1.0,13.0,1.0,2.0,2.0,9.0,27.0,5.0,65.0,4.0,4.0,4.0,2.0,,3.0,1.0,6.0,,,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,1.0,,,
064_data.txt,9.0,1.0,20.0,1.0,7.0,1.0,1.0,3.0,3.0,26.0,1.0,11.0,4.0,2.0,4.0,,,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,
045_data.txt,11.0,1.0,-2.0,1.0,11.0,1.0,2.0,5.0,5.0,29.0,5.0,48.0,1.0,7.0,4.0,2.0,4.0,2.0,1.0,12.0,2.0,1.0,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,
055_data.txt,9.0,1.0,16.0,1.0,6.0,1.0,1.0,6.0,2.0,26.0,1.0,21.0,1.0,3.0,4.0,,,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,
074_data.txt,11.0,1.0,-5.0,1.0,16.0,1.0,4.0,4.0,6.0,29.0,2.0,34.0,4.0,6.0,4.0,,30.0,3.0,1.0,12.0,2.0,,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,,1.0,3.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,5.0,,1.0,,,,,,
084_data.txt,10.0,1.0,3.0,1.0,7.0,1.0,4.0,1.0,7.0,29.0,4.0,30.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,15.0,2.0,,,2.0,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,1.0,
030_data.txt,11.0,1.0,-6.0,1.0,11.0,1.0,4.0,5.0,7.0,29.0,6.0,30.0,4.0,6.0,4.0,,30.0,3.0,1.0,13.0,2.0,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,
